,Unnamed: 0,User Id,Comment Id,Comment Text,Publish Date,Comment Length,sentiment,sent
0,0,56597613313,17908610195809218,Beautiful couple,2024-01-03,16.0,0.5994,Positive
1,1,56597613313,18026938972723984,She is the prize,2024-01-03,16.0,0.5106,Positive
2,2,236447151,17919327446765056,@jariruiz … You are giving yourself & these nosey-azz commenters tooo much power.  Only God knows what’s best for here!!,2024-01-03,120.0,0.8513,Positive
3,3,236447151,17989393328603270,"@jariruiz **only God knows what’s best for her (Simone),",2024-01-03,56.0,0.743,Positive
4,4,236447151,17968603745528169,@melomatlala … I too like & admire Simone Biles but she is human & all humans have faults.  Y’all are acting like she is perfect but all y’all know is what she & other celebrities allow y’all to see.  They can always edit &/or say “cut.”,2024-01-03,237.0,0.8519,Positive
5,5,236447151,18326778160106670,💯TRUTH!,2024-01-03,7.0,0.0,Neutral
6,6,236447151,18004701389252137,"@gabmoncayozerga … Everybody isn’t stuck on money.  He obviously is rich himself. But Simone married him because she loved him even if she made more money. Money is not more important than love,",2024-01-03,194.0,0.9206,Positive
7,7,236447151,18013411078935797,@anastaciaa.04 … Do you know Jonathan and Simone? You people are acting butt hurt about people you will never know.  Leave these people alone and mind your own business!,2024-01-03,169.0,-0.6751,Negative
8,8,236447151,18039029260615708,"@shanboodram … And then they’ll go on another tangent about how he didn’t mean it, how he only did it because he was called on it, he was embarrassed because Simone was going to divorce him, etc.",2024-01-03,195.0,-0.3612,Negative
9,9,236447151,17944266374651723,Do you know Jonathan?,2024-01-03,21.0,0.0,Neutral
10,10,49748135263,18035008489662839,Ayo chill 😂😂,2024-01-03,12.0,0.7003,Positive
11,11,51192076373,17991355835588496,"A random football player, not a star and not a catch",2024-01-04,52.0,0.0,Neutral
12,12,1149216113,17900166959927060,@genevieve93 an ICON!!!!!,2024-01-04,25.0,0.0,Neutral
13,13,1149216113,18017360498006406,"She is an ICON, put some respect on her name!",2024-01-04,45.0,0.5255,Positive
14,14,3022221313,18018772471983763,Mr Simone Biles 👋🏾,2024-01-04,18.0,0.4939,Positive
15,15,4618223954,17909070923894808,@elizabethvtemple but you obviously didn't put thought into that parrot colored eyeliner I can't even say it was a nice try.,2024-01-04,124.0,0.5719,Positive
16,16,4618223954,17894437388878076,@thedarkandlovely1 don't be mad at me your hair comes from an alpacas backside. The fact that you speak emoji tells me how immature and ghetto you are. You look like you are 45 stop using emojis like for real just stop it. I just know when the wind blows harder than a light breeze you gotta hold tight to that yak number 9. Once again I am celibate towards booger woofs like yourself who wear gerbil hair on their head.,2024-01-04,420.0,0.7208,Positive
17,17,4618223954,17962312835689407,@thedarkandlovely1 why do you keep saying I sought you out? Who are you? Sorry I do not talk to women wearing weasel fur on their head.,2024-01-04,135.0,-0.168,Negative
18,18,10125662060,18018834332057265,it’s simone biles’ husband???,2024-01-04,29.0,0.0,Neutral
19,19,4618223954,17994086423414322,@thedarkandlovely1 the only bitter one is you. You are not even happy with yourself that's why you wear Himalayan mountain goat on your head and paint your face. So don't sit here and tell me you ain't bitter and lonely.,2024-01-04,220.0,-0.3304,Negative
20,20,28025309,17983457306554853,@mfb1965 Don’t reply to me weirdo.,2024-01-04,34.0,-0.4215,Negative
21,21,234269822,18018521837056250,"@tornsolace ooh, parrot is a good one, thank you! What a cool animal. Nice job, I knew you’d get there.",2024-01-04,103.0,0.8687,Positive
22,22,3601072652,17995898342387117,"Look at all the uglies mad y’all in love , big ups my guy",2024-01-05,57.0,-0.25,Negative
23,23,52130847,18089627122396515,@uknowjmitch 👏👏👏,2024-01-07,16.0,0.0,Neutral
24,24,5431978908,18066378847464968,aw simone biles and simone biles husband 🤗🥰,2024-01-08,43.0,0.8779,Positive
25,25,46209335582,18057482050464440,@_trinity.s shut yo ass up,2024-01-10,26.0,-0.5423,Negative
26,26,46209335582,18006501146209036,@cadaoduong  nfl player who's better then she will ever be,2024-01-10,58.0,0.4404,Positive
27,27,6151286531,18331713922099586,@tyler_jackson1712 why u dickriding😂,2024-01-10,36.0,0.4404,Positive
28,28,46209335582,18391415035066912,@_trinity.s yall riding her tf,2024-01-10,30.0,0.0,Neutral
29,29,216036468,18023522245919093,He ignorant. New to the spot light. I bet he won’t do another interview like that again. lol “can we go over these questions first?!” 🤣🤣🤣,2024-01-11,137.0,0.92,Positive
30,30,44012711266,18007109033246435,"Red flags, says she drove to HIM in the People article, he said he's the catch. NOPE. Been married 18 years, seen marriages go down. 🚩 if man thinks he's the prize, esp if woman is more famous?!!",2024-01-11,195.0,0.5972,Positive
31,31,50115300,18037850542659797,@simonebiles girl RUN,2024-01-11,21.0,0.0,Neutral
32,32,6739806689,17996480144416947,Maui Packer fan adaptive surfer 🏄 loves you both 🙌🏼,2024-01-12,51.0,0.7184,Positive
33,33,5351183066,17956044638610932,"@shanboodram people are saying that he is emotionally abusive. And he is. People are not hating on them just because they are bored. What he said was demeaning her, embarrassing her. Placing himself above her is not okay. Black women who are dark skinned are not always seen as the ""catch"" especially by light skinned men. This happens a lot more often than you think.",2024-01-12,368.0,-0.7823,Negative
34,34,50497211007,18030834370671755,"@philiplokamba not yr business,you wanted that she must cry you people yr too patty those people don't know you.",2024-01-12,112.0,-0.4767,Negative
35,35,50497211007,18012932587962123,"@chris995rt who cares, face yr front that couple they don't even know just hauling like a fool",2024-01-12,94.0,0.3818,Positive
36,36,43873934234,17985282140398017,Congratulations 🎊🍾🎉 😂,2024-01-13,21.0,0.8591,Positive
37,37,212314409,18066035941482418,❤️🖤💚,2024-01-14,4.0,0.8555,Positive
38,38,1959102100,17925350945820034,Go take it!,2024-01-14,11.0,0.0,Neutral
39,39,9970876670,18239750572217449,🔐😍,2024-01-14,2.0,0.4588,Positive
40,40,294052210,17967211643546314,You two radiate and look so in love. I love this !!!,2024-01-15,52.0,0.8899,Positive
41,41,45640545,17993363081580745,@shanboodram love u,2024-01-20,19.0,0.6369,Positive
42,42,36577112033,18123900823332340,P,2024-01-21,1.0,0.0,Neutral
43,43,36577112033,18054374113532253,"Keep your relationship as private as you possibly can.  Haters are going to always hate.  No one needs to know your business other than very clos family and friends…. And some of them you cannot trust!  I love the two of you together… outsiders can destroy a marriage like no one else, because misery loves company!  God bless your union! 🙏🏽",2024-01-21,341.0,-0.9365,Negative
44,44,58476600469,18041190082714948,❤️❤️❤️❤️,2024-01-26,8.0,0.0,Neutral
45,45,45698959842,17990305313545940,@justinqreid that’s why you play for the chiefs 😭,2024-01-30,49.0,-0.1779,Negative
46,46,254175531,17931210557813781,unlock it bro,2024-02-03,13.0,0.0,Neutral
47,47,4533151275,18294056332148794,@smile_thru_the_bs he CLEARLY SAID: “…men are always the prize.” Catch & prize are being used interchangeably in that convo. Also DID Simone propose??,2023-12-31,150.0,0.796,Positive
48,48,18566776955,17904781208822356,Black are always the easy target,2023-12-31,32.0,0.4404,Positive
49,49,205530542,18031373965740250,White woman here. This shit is trash and I hope she learns a big lesson before her second marriage. ✨,2023-12-31,101.0,-0.0129,Neutral
50,50,45670290449,17922975485828488,👏🏾👏🏾🙏🏾🙏🏾❤️❤️ Yes! Don’t allow these internet miserables to be in your lives or ear. Keep living and living one another!,2023-12-31,119.0,0.6351,Positive
51,51,45670290449,18018597253972008,"@dablife42o Where are you ranked??? Anywhere?? Any profession??? And where is your significant other, IF you have one, ranked?? 🤔 Do tell? The nerve!",2023-12-31,149.0,0.4682,Positive
52,52,4618223954,18011032276963114,@elizabethvtemple and you say that while wearing flamingo eyeliner in your thumbnail😂😂😂 talk about mid huh?,2023-12-31,107.0,0.8271,Positive
53,53,4618223954,18236655694222766,@thedarkandlovely1 when did he degrade her? Lol yall single mothers want some more company huh?,2023-12-31,95.0,0.1431,Positive
54,54,4618223954,18316262539140344,Is this you projecting? How do you know how his wife feels?,2023-12-31,59.0,0.0,Neutral
55,55,4618223954,18003230537090625,@teodora_pocol no yall ain't worried about her. Yall want her to be single like all of you,2023-12-31,90.0,0.3586,Positive
56,56,4618223954,18096038749377172,@topi_different no he is the prize. She went to see him.,2023-12-31,56.0,0.2732,Positive
57,57,4618223954,18407199943057898,@gabmoncayozerga and that's why so many of yall women with money are single. Dudes do not care how much money you make. It means nothing to us. It's your personality that matters. But seeing as how many women are single your personalities are 2 out of 10,2023-12-31,254.0,-0.1935,Negative
58,58,4618223954,18050529784550310,@melomatlala and what level of delusion are you at?,2023-12-31,51.0,0.0,Neutral
59,59,234269822,18409664125059950,@tornsolace what kind of flamingo is teal? You should study your animals.,2023-12-31,73.0,0.0,Neutral
60,60,4618223954,18015888688879458,And why are you mad he is the catch and Simone thought so. So why are you single bitter women mad?,2023-12-31,98.0,-0.8481,Negative
61,61,1571967047,18059054260503550,"@tornsolace you can't generalize, some women just prefer to be single. The point is that  Simones husband dont value her and it's saying outloud that his ""the prize""",2023-12-31,165.0,0.3103,Positive
62,62,805742382,18005940350058952,@tornsolace awesome,2023-12-31,19.0,0.6249,Positive
63,63,11385790027,18044132734595865,@tornsolace i’m not single ? it’s just embarrassing and sad seeing women settle for the sort of relationships women only put up with when insecure,2023-12-31,146.0,-0.8176,Negative
