,Unnamed: 0,User Id,Comment Id,Comment Text,Publish Date,Comment Length,sentiment,sent
0,0,4382790947,17857495791052843,The goat!,2023-12-25,9.0,0.0,Neutral
1,1,51746321373,17860182567067690,❤️❤️❤️❤️,2023-12-25,8.0,0.0,Neutral
2,2,28408400,18378184846077171,Never heard of your husband. Hope he makes a good Mr. Simone biles,2023-12-25,66.0,0.7003,Positive
3,3,300207646,17992827728271359,This fit is everything & she is beautiful 🥰,2023-12-26,43.0,0.9287,Positive
4,4,5614303926,17934860549695140,who’s that guy in the second photo?,2023-12-27,35.0,0.0,Neutral
5,5,45727662,17876517986960110,"Keep it up, Queen! Don't listen to those haters!  You and your husband have a beautiful love!! ❤️",2023-12-27,97.0,0.7946,Positive
6,6,1483104768,18024882718893865,Give them🔥,2023-12-28,10.0,-0.34,Negative
7,7,48124414864,18170763427294252,Love your boots,2023-12-24,15.0,0.6369,Positive
8,8,3266661526,18325173091128988,"@kourt_lynn_93 not the swifties comin for u, but i agree",2023-12-24,56.0,0.5023,Positive
9,9,208219312,18012931376035871,Not from @athleta but that is so🔥....,2023-12-24,37.0,-0.6339,Negative
10,10,23189374,18009827935973644,Love the pic with your fans! ❤️,2023-12-24,31.0,0.6696,Positive
11,11,1553698148,17850557718089293,"This Woman has been through so much!!!! I’m so happy for her. She’s like one of my favorite athletes now!! 
We love you so much Simone!!",2023-12-24,136.0,0.9486,Positive
12,12,37880808,17878727913005070,You look good in Lions colors!,2023-12-24,30.0,0.4926,Positive
13,13,9648313675,18016232704996374,Mmmmm,2023-12-24,5.0,0.0,Neutral
14,14,3557027254,18330694819102052,You look perfect Simone! I love u!!💙💙😍,2023-12-25,38.0,0.9689,Positive
15,15,5848060887,17888876633901450,👏👏,2023-12-25,2.0,0.0,Neutral
16,16,2750658813,18325549186106537,@kourt_lynn_93 you got these yt girls in a tizzy 😂,2023-12-25,50.0,0.4404,Positive
17,17,5935183664,17935364984791450,🔥🔥🔥,2023-12-25,3.0,-0.7351,Negative
18,18,44916402042,18109391935354799,🔥🔥🔥🔥,2023-12-25,4.0,-0.8225,Negative
19,19,44916402042,18033009490670504,@kaylasimonehome yep taking notes. I have similar boots. I love the color and her look 😍,2023-12-25,88.0,0.8555,Positive
20,20,227441605,18315033340118833,Mrs and Mr Biles ❤️,2023-12-25,19.0,0.0,Neutral
21,21,656198578,18010286555281757,Omggg cuteee❤️,2023-12-23,14.0,0.0,Neutral
22,22,2940568647,18108604018358465,love the tall boots ❄️💙❄️💙❄️,2023-12-23,28.0,0.9274,Positive
23,23,1531570116,18030102919781415,you look so good😍😍,2023-12-23,18.0,0.8756,Positive
24,24,51691944508,18003987221068558,@elaina_maria__ yep yes!! She’s enjoying it and sometimes I forget too!! She’s happy!!,2023-12-23,86.0,0.9056,Positive
25,25,52112741103,18317123479186370,MERRY Christmas  kids!!! Love y'all.,2023-12-23,36.0,0.8836,Positive
26,26,52112741103,17870685498022730,M,2023-12-23,1.0,0.0,Neutral
27,27,228042233,18034051807668071,@kourt_lynn_93 not a competition 🤷🏻‍♀️,2023-12-23,38.0,0.0,Neutral
28,28,8003936814,18012114895918772,💙,2023-12-23,1.0,0.6369,Positive
29,29,330603401,18014535869307870,Hey boots💙🔥💙🔥,2023-12-23,13.0,0.6808,Positive
30,30,535850453,17991577286445949,❤️,2023-12-23,2.0,0.0,Neutral
31,31,226012224,18045626980561765,The Queen herself,2023-12-23,17.0,0.0,Neutral
32,32,174556118,18014948078015620,so pretty !!,2023-12-23,12.0,0.6221,Positive
33,33,919861024,18022060099920032,"My brother was asking my daughter if she knows a better performer than Beyonce and she came running to me and said Mom, what's the lady's name you showed me that does gymnastics? She's 5. She loves you.",2023-12-23,202.0,0.765,Positive
34,34,39372828076,18064167781467592,Beautiful and classy woman,2023-12-23,26.0,0.7783,Positive
35,35,1753840703,17955237794709896,Nice,2023-12-23,4.0,0.4215,Positive
36,36,32283141331,18017925679955388,😍😍😍😍,2023-12-24,4.0,0.9001,Positive
37,37,14283279781,17995364690213597,😍😍😍,2023-12-22,3.0,0.8402,Positive
38,38,3223941545,18021953743912312,The bag❤️❤️❤️❤️,2023-12-22,15.0,0.0,Neutral
39,39,3128360798,18023606998883314,Cute!,2023-12-22,5.0,0.5093,Positive
40,40,8584251346,18100817281374812,"Wow!!! Blue is your color, beautiful!👏👏👏",2023-12-22,40.0,0.871,Positive
41,41,1159479431,18002620379095007,You guys are a beautiful couple ❤️,2023-12-22,34.0,0.5994,Positive
42,42,905781058,17982695819556799,🔥,2023-12-22,1.0,-0.34,Negative
43,43,629209327,18015681221007041,Your outfit and love the boots !!,2023-12-22,33.0,0.6988,Positive
44,44,3666262049,18035206699724082,@kourt_lynn_93 eww. And Travis doesn’t blast taylor in the interviews…,2023-12-22,70.0,0.0,Neutral
45,45,15508554032,18050579257537545,Love your boots!!,2023-12-22,17.0,0.6988,Positive
